examine,id,metadata.examine,metadata.highalch,metadata.icon,metadata.id,metadata.limit,metadata.lowalch,metadata.members,metadata.name,metadata.value,name,price,price.high,price.highTime,price.low,price.lowTime,roi
A deadly poisoned dart with an adamant tip.,5633,A deadly poisoned dart with an adamant tip.,39,Adamant dart(p+).png,5633,11000,26,True,Adamant dart(p+),65,Adamant dart(p+),,257,1760470104,7,1760474808,35.714285714285715
A deadly poisoned dart with an adamant tip.,5640,A deadly poisoned dart with an adamant tip.,39,Adamant dart(p++).png,5640,11000,26,True,Adamant dart(p++),65,Adamant dart(p++),,1512,1760539906,221,1760558586,5.841628959276018
Do I look scary?,23270,Do I look scary?,6000,Adamant dragon mask.png,23270,4,4000,True,Adamant dragon mask,10000,Adamant dragon mask,,55000,1760542691,16000,1760527439,2.4375
A woodcutter's axe.,28211,A woodcutter's axe.,768,Adamant felling axe.png,28211,,512,True,Adamant felling axe,1280,Adamant felling axe,,2300000,1760541320,1700000,1760560828,0.35294117647058826
A full face helmet.,1161,A full face helmet.,2112,Adamant full helm.png,1161,125,1408,False,Adamant full helm,3520,Adamant full helm,,1638,1760563331,1638,1760563405,0.0
Adamant full helmet with gold trim.,2613,Adamant full helmet with gold trim.,2112,Adamant full helm (g).png,2613,8,1408,False,Adamant full helm (g),3520,Adamant full helm (g),,12489,1760558653,10111,1760562146,0.23518939768568886
Adamant full helmet with trim.,2605,Adamant full helmet with trim.,2112,Adamant full helm (t).png,2605,8,1408,False,Adamant full helm (t),3520,Adamant full helm (t),,6650,1760514915,2404,1760562125,1.7662229617304492
"A set containing a full helm, platebody, legs and kiteshield.",13020,"A set containing a full helm, platebody, legs and kiteshield.",4800,Adamant gold-trimmed set (lg).png,13020,8,3200,False,Adamant gold-trimmed set (lg),8000,Adamant gold-trimmed set (lg),,64888,1760560291,58436,1760530741,0.11041139023889383
"A set containing a full helm, platebody, skirt and kiteshield.",13022,"A set containing a full helm, platebody, skirt and kiteshield.",4800,Adamant gold-trimmed set (sk).png,13022,8,3200,False,Adamant gold-trimmed set (sk),8000,Adamant gold-trimmed set (sk),,134913,1760533119,60009,1760466755,1.2482127680847872
An adamant halberd.,3200,An adamant halberd.,3840,Adamant halberd.png,3200,125,2560,True,Adamant halberd,6400,Adamant halberd,,13704,1760561754,11000,1760559606,0.24581818181818182
"An adamant-tipped, one-handed hasta.",11375,"An adamant-tipped, one-handed hasta.",1248,Adamant hasta.png,11375,125,832,True,Adamant hasta,2080,Adamant hasta,,864,1760558228,800,1760560979,0.08
"A poison-tipped, one-handed adamantite hasta.",11407,"A poison-tipped, one-handed adamantite hasta.",1248,Adamant hasta(p).png,11407,125,832,True,Adamant hasta(p),2080,Adamant hasta(p),,4583,1760469811,5077,1759771624,-0.09730155603702974
"A poison-tipped, one-handed adamantite hasta.",11410,"A poison-tipped, one-handed adamantite hasta.",1248,Adamant hasta(p+).png,11410,125,832,True,Adamant hasta(p+),2080,Adamant hasta(p+),,2684,1760426180,6691,1749325528,-0.5988641458675833
"A poison-tipped, one-handed adamantite hasta.",11412,"A poison-tipped, one-handed adamantite hasta.",1248,Adamant hasta(p++).png,11412,125,832,True,Adamant hasta(p++),2080,Adamant hasta(p++),,6059,1760551097,100,1759870372,59.59
An adamant helmet with a heraldic design.,10296,An adamant helmet with a heraldic design.,2112,Adamant helm (h1).png,10296,70,1408,False,Adamant helm (h1),3520,Adamant helm (h1),,7500,1760554886,3511,1760563335,1.1361435488464824
An adamant helmet with a heraldic design.,10298,An adamant helmet with a heraldic design.,2112,Adamant helm (h2).png,10298,70,1408,False,Adamant helm (h2),3520,Adamant helm (h2),,5717,1760507825,2315,1760563278,1.4695464362850972
An adamant helmet with a heraldic design.,10300,An adamant helmet with a heraldic design.,2112,Adamant helm (h3).png,10300,70,1408,False,Adamant helm (h3),3520,Adamant helm (h3),,2376,1760556389,2039,1760557536,0.16527709661598822
An adamant helmet with a heraldic design.,10302,An adamant helmet with a heraldic design.,2112,Adamant helm (h4).png,10302,70,1408,False,Adamant helm (h4),3520,Adamant helm (h4),,1768,1760547586,1515,1760549125,0.166996699669967
An adamant helmet with a heraldic design.,10304,An adamant helmet with a heraldic design.,2112,Adamant helm (h5).png,10304,70,1408,False,Adamant helm (h5),3520,Adamant helm (h5),,2085,1760549016,2002,1760563418,0.041458541458541456
An adamant tipped javelin.,829,An adamant tipped javelin.,96,Adamant javelin.png,829,11000,64,True,Adamant javelin,160,Adamant javelin,,55,1760563335,55,1760563357,0.0
Needs a shaft.,19578,Needs a shaft.,264,Adamant javelin heads 5.png,19578,10000,176,True,Adamant javelin heads,440,Adamant javelin heads,,342,1760541918,332,1760563247,0.030120481927710843
An adamant tipped javelin.,835,An adamant tipped javelin.,96,Adamant javelin(p).png,835,11000,64,True,Adamant javelin(p),160,Adamant javelin(p),,57,1760379118,575,1756244160,-0.9008695652173913
An adamant tipped javelin.,5646,An adamant tipped javelin.,96,Adamant javelin(p+).png,5646,11000,64,True,Adamant javelin(p+),160,Adamant javelin(p+),,135,1758939155,244,1754793234,-0.44672131147540983
An adamant tipped javelin.,5652,An adamant tipped javelin.,96,Adamant javelin(p++).png,5652,11000,64,True,Adamant javelin(p++),160,Adamant javelin(p++),,165,1759030774,10,1759044502,15.5
A large metal shield.,1199,A large metal shield.,3264,Adamant kiteshield.png,1199,125,2176,False,Adamant kiteshield,5440,Adamant kiteshield,,2842,1760563424,2828,1760563451,0.0049504950495049506
Adamant kiteshield with gold trim.,2611,Adamant kiteshield with gold trim.,3264,Adamant kiteshield (g).png,2611,8,2176,False,Adamant kiteshield (g),5440,Adamant kiteshield (g),,9122,1760546795,10366,1760562504,-0.12000771753810534
Adamant kiteshield with trim.,2603,Adamant kiteshield with trim.,3264,Adamant kiteshield (t).png,2603,8,2176,False,Adamant kiteshield (t),5440,Adamant kiteshield (t),,3078,1760555086,2933,1760561289,0.04943743607228094
A finely balanced throwing knife.,867,A finely balanced throwing knife.,39,Adamant knife.png,867,11000,26,True,Adamant knife,66,Adamant knife,,345,1760562485,330,1760563184,0.045454545454545456
A finely balanced throwing knife.,875,A finely balanced throwing knife.,39,Adamant knife(p).png,875,11000,26,True,Adamant knife(p),66,Adamant knife(p),,594,1760388927,50,1760111404,10.88
A finely balanced throwing knife.,5659,A finely balanced throwing knife.,39,Adamant knife(p+).png,5659,7000,26,True,Adamant knife(p+),66,Adamant knife(p+),,466,1760487800,325,1760489405,0.4338461538461538
A finely balanced throwing knife.,5666,A finely balanced throwing knife.,39,Adamant knife(p++).png,5666,7000,26,True,Adamant knife(p++),66,Adamant knife(p++),,1500,1760339881,100,1760166975,14.0
A razor sharp longsword.,1301,A razor sharp longsword.,1920,Adamant longsword.png,1301,125,1280,False,Adamant longsword,3200,Adamant longsword,,1483,1760561390,1502,1760563412,-0.012649800266311585
A spiky mace.,1430,A spiky mace.,864,Adamant mace.png,1430,125,576,False,Adamant mace,1440,Adamant mace,,720,1760558564,500,1760562996,0.44
A medium sized helmet.,1145,A medium sized helmet.,1152,Adamant med helm.png,1145,125,768,False,Adamant med helm,1920,Adamant med helm,,863,1760563316,848,1760563438,0.01768867924528302
Used for mining.,1271,Used for mining.,1920,Adamant pickaxe.png,1271,40,1280,False,Adamant pickaxe,3200,Adamant pickaxe,,2125,1760563228,1650,1760563462,0.2878787878787879
Provides excellent protection.,1123,Provides excellent protection.,9984,Adamant platebody.png,1123,125,6656,False,Adamant platebody,16640,Adamant platebody,,9473,1760563466,9453,1760563465,0.002115730455939913
Adamant platebody with gold trim.,2607,Adamant platebody with gold trim.,9984,Adamant platebody (g).png,2607,8,6656,False,Adamant platebody (g),16640,Adamant platebody (g),,14980,1760558750,13666,1760561080,0.09615103175764672
Adamant platebody with a heraldic design.,23392,Adamant platebody with a heraldic design.,9984,Adamant platebody (h1).png,23392,8,6656,False,Adamant platebody (h1),16640,Adamant platebody (h1),,10311,1760474825,9355,1760559996,0.10219134152859434
Adamant platebody with a heraldic design.,23395,Adamant platebody with a heraldic design.,9984,Adamant platebody (h2).png,23395,8,6656,False,Adamant platebody (h2),16640,Adamant platebody (h2),,9366,1760539260,9375,1760554001,-0.00096
Adamant platebody with a heraldic design.,23398,Adamant platebody with a heraldic design.,9984,Adamant platebody (h3).png,23398,8,6656,False,Adamant platebody (h3),16640,Adamant platebody (h3),,9162,1760557888,9330,1760559281,-0.0180064308681672
Adamant platebody with a heraldic design.,23401,Adamant platebody with a heraldic design.,9984,Adamant platebody (h4).png,23401,8,6656,False,Adamant platebody (h4),16640,Adamant platebody (h4),,9194,1760546928,8600,1760556137,0.06906976744186047
Adamant platebody with a heraldic design.,23404,Adamant platebody with a heraldic design.,9984,Adamant platebody (h5).png,23404,8,6656,False,Adamant platebody (h5),16640,Adamant platebody (h5),,8816,1760538238,9300,1760556091,-0.05204301075268817
Adamant platebody with trim.,2599,Adamant platebody with trim.,9984,Adamant platebody (t).png,2599,8,6656,False,Adamant platebody (t),16640,Adamant platebody (t),,13031,1760552658,9555,1760560231,0.3637885923600209
These look pretty heavy.,1073,These look pretty heavy.,3840,Adamant platelegs.png,1073,125,2560,False,Adamant platelegs,6400,Adamant platelegs,,3700,1760562881,3404,1760563470,0.08695652173913043
Adamant platelegs with gold trim.,2609,Adamant platelegs with gold trim.,3840,Adamant platelegs (g).png,2609,8,2560,False,Adamant platelegs (g),6400,Adamant platelegs (g),,8160,1760559450,5000,1760562200,0.632
Adamant platelegs with trim.,2601,Adamant platelegs with trim.,3840,Adamant platelegs (t).png,2601,8,2560,False,Adamant platelegs (t),6400,Adamant platelegs (t),,4246,1760557767,3558,1760560235,0.19336706014614952
Designer leg protection.,1091,Designer leg protection.,3840,Adamant plateskirt.png,1091,125,2560,False,Adamant plateskirt,6400,Adamant plateskirt,,3391,1760560460,3447,1760562040,-0.01624601102407891
Adamant plateskirt with gold trim.,3475,Adamant plateskirt with gold trim.,3840,Adamant plateskirt (g).png,3475,8,2560,False,Adamant plateskirt (g),6400,Adamant plateskirt (g),,3356,1760543592,3336,1760561018,0.005995203836930456
Adamant plateskirt with trim.,3474,Adamant plateskirt with trim.,3840,Adamant plateskirt (t).png,3474,8,2560,False,Adamant plateskirt (t),6400,Adamant plateskirt (t),,2952,1760552668,3350,1760563131,-0.11880597014925373
"A vicious, curved sword.",1331,"A vicious, curved sword.",1536,Adamant scimitar.png,1331,125,1024,False,Adamant scimitar,2560,Adamant scimitar,,1700,1760563443,1400,1760563435,0.21428571428571427
Magical seeds in an adamant case.,29458,Magical seeds in an adamant case.,180,Adamant seeds.png,29458,18000,120,True,Adamant seeds,300,Adamant seeds,,88,1760563284,85,1760562524,0.03529411764705882
"A set containing a full helm, platebody, legs and kiteshield.",13012,"A set containing a full helm, platebody, legs and kiteshield.",4800,Adamant set (lg).png,13012,8,3200,False,Adamant set (lg),8000,Adamant set (lg),,19336,1760562712,19091,1760562245,0.012833272222513226
"A set containing a full helm, platebody, skirt and kiteshield.",13014,"A set containing a full helm, platebody, skirt and kiteshield.",4800,Adamant set (sk).png,13014,8,3200,False,Adamant set (sk),8000,Adamant set (sk),,20903,1760563483,20149,1760335385,0.03742121197081741
A shield with a heraldic design,7334,A shield with a heraldic design,3264,Adamant shield (h1).png,7334,70,2176,False,Adamant shield (h1),5440,Adamant shield (h1),,5000,1760563334,2800,1760560780,0.7857142857142857
A shield with a heraldic design,7340,A shield with a heraldic design,3264,Adamant shield (h2).png,7340,70,2176,False,Adamant shield (h2),5440,Adamant shield (h2),,2751,1760559820,2500,1760553564,0.1004
A shield with a heraldic design,7346,A shield with a heraldic design,3264,Adamant shield (h3).png,7346,70,2176,False,Adamant shield (h3),5440,Adamant shield (h3),,2698,1760555702,2180,1760548975,0.23761467889908258
A shield with a heraldic design,7352,A shield with a heraldic design,3264,Adamant shield (h4).png,7352,70,2176,False,Adamant shield (h4),5440,Adamant shield (h4),,2711,1760483272,3293,1760563281,-0.17673853628909808
A shield with a heraldic design,7358,A shield with a heraldic design,3264,Adamant shield (h5).png,7358,70,2176,False,Adamant shield (h5),5440,Adamant shield (h5),,2900,1760546961,2900,1760557136,0.0
An adamantite tipped spear.,1245,An adamantite tipped spear.,1248,Adamant spear.png,1245,125,832,True,Adamant spear,2080,Adamant spear,,797,1760560447,794,1760561372,0.003778337531486146
A poisoned adamantite tipped spear.,1259,A poisoned adamantite tipped spear.,1248,Adamant spear(p).png,1259,125,832,True,Adamant spear(p),2080,Adamant spear(p),,754,1760558276,682,1760559154,0.10557184750733138
A poisoned adamantite tipped spear.,5712,A poisoned adamantite tipped spear.,1248,Adamant spear(p+).png,5712,125,832,True,Adamant spear(p+),2080,Adamant spear(p+),,2014,1760154822,100,1759196175,19.14
A poisoned adamantite tipped spear.,5726,A poisoned adamantite tipped spear.,1248,Adamant spear(p++).png,5726,125,832,True,Adamant spear(p++),2080,Adamant spear(p++),,3499,1760556926,50,1759693853,68.98
A medium square shield.,1183,A medium square shield.,2304,Adamant sq shield.png,1183,125,1536,False,Adamant sq shield,3840,Adamant sq shield,,2471,1760563473,1960,1760563416,0.26071428571428573
A razor sharp sword.,1287,A razor sharp sword.,1248,Adamant sword.png,1287,125,832,False,Adamant sword,2080,Adamant sword,,1500,1760562612,1000,1760561412,0.5
